Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
BIOCARTA	h_her2Pathway:Role of ERBB2 in Signal Transduction and Oncology	8	21.62162162162162	6.967183200046534E-8	EGFR, MAPK1, MAP2K1, ERBB3, ERBB2, ESR1, RAF1, STAT3	31	23	1625	18.2328190743338	1.1147431370539529E-5	1.1147431370539529E-5	8.412786602907119E-5
BIOCARTA	h_keratinocytePathway:Keratinocyte Differentiation	10	27.027027027027028	7.093922551714876E-8	PRKCA, EGFR, MAPK1, MAP2K1, MAPK14, RELA, JUN, RAF1, MAPK8, PRKCD	31	48	1625	10.920698924731182	1.1350212067440246E-5	5.6751221372275396E-6	8.565822725570271E-5
BIOCARTA	h_pyk2Pathway:Links between Pyk2 and Map Kinases	8	21.62162162162162	3.159591026629293E-7	PRKCA, MAPK1, MAP2K1, MAPK14, JUN, RAF1, MAPK8, SRC	31	28	1625	14.976958525345623	5.0552186606989125E-5	1.685101282400403E-5	3.815161458420313E-4
BIOCARTA	h_at1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling	8	21.62162162162162	1.0703005353570003E-6	PRKCA, EGFR, MAPK1, MAP2K1, JUN, RAF1, MAPK8, SRC	31	33	1625	12.70772238514174	1.7123351516112884E-4	4.2811127900832524E-5	0.001292367353955548
BIOCARTA	h_metPathway:Signaling of Hepatocyte Growth Factor Receptor	8	21.62162162162162	2.013614531513709E-6	MAPK1, MAP2K1, JUN, MET, RAF1, MAPK8, SRC, STAT3	31	36	1625	11.648745519713263	3.2212675545362224E-4	6.443365394726008E-5	0.0024313881987869657
BIOCARTA	h_eif4Pathway:Regulation of eIF4e and p70 S6 Kinase	7	18.91891891891892	2.504300163725314E-6	PRKCA, AKT1, MAPK1, EIF4EBP1, MAPK14, RPS6KB1, MTOR	31	24	1625	15.288978494623656	4.006082629847141E-4	6.677919148923017E-5	0.0030238703705998127
BIOCARTA	h_egfPathway:EGF Signaling Pathway	7	18.91891891891892	5.299266208460295E-6	PRKCA, EGFR, MAP2K1, JUN, RAF1, MAPK8, STAT3	31	27	1625	13.590203106332138	8.475254871674887E-4	1.2111907019995982E-4	0.006398612395575043
BIOCARTA	h_cdmacPathway:Cadmium induces DNA synthesis and proliferation in macrophages	6	16.216216216216218	8.043797407580239E-6	PRKCA, MAPK1, MAP2K1, RELA, JUN, RAF1	31	17	1625	18.500948766603415	0.001286184915720856	1.608636552367093E-4	0.009712355932933736
BIOCARTA	h_hcmvPathway:Human Cytomegalovirus and Map Kinase Pathways	6	16.216216216216218	8.043797407580239E-6	AKT1, MAPK1, MAP2K1, MAPK14, RELA, RB1	31	17	1625	18.500948766603415	0.001286184915720856	1.608636552367093E-4	0.009712355932933736
BIOCARTA	h_erkPathway:Erk1/Erk2 Mapk Signaling pathway	7	18.91891891891892	1.0227597292241908E-5	EGFR, MAPK1, RPS6KA1, MAP2K1, RAF1, SRC, STAT3	31	30	1625	12.231182795698924	0.0016350857235194471	1.8180835253656102E-4	0.012349001225930856
