Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	16	43.24324324324324	8.201404813818101E-21	PRKCA, EGFR, MAP2K1, ERBB3, ERBB2, RAF1, RPS6KB1, BAD, SRC, AKT1, MAPK1, EIF4EBP1, CDKN1B, JUN, MAPK8, MTOR	34	87	6879	37.20892494929006	1.1892036980036246E-18	1.1892036980036246E-18	9.73637516228711E-18
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	14	37.83783783783784	1.4786252005332068E-16	PRKCA, AKT1, EGFR, PDK1, MAPK1, EIF4EBP1, CDKN1B, MAP2K1, RELA, ERBB2, RPS6KB1, MTOR, RPS6, STAT3	34	96	6879	29.50551470588235	1.609823385706477E-14	7.993605777301127E-15	1.3322676295501878E-13
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	16	43.24324324324324	3.4797982373815294E-15	PRKCA, EGFR, MAP2K1, ERBB3, ERBB2, MET, ESR1, RAF1, RPS6KB1, RPS6, STAT3, SRC, AKT1, MAPK1, MAPK14, MTOR	34	200	6879	16.185882352941174	4.990452495690079E-13	1.6631140908884845E-13	4.085620730620576E-12
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	11	29.72972972972973	6.425810875863842E-14	PRKCA, AKT1, MAPK1, EIF4EBP1, AKT1S1, RPS6KA1, PRKAA1, RPS6KB1, RICTOR, MTOR, RPS6	34	58	6879	38.371703853955374	9.320877403240502E-12	2.330247106385741E-12	7.631673071273326E-11
KEGG_PATHWAY	hsa05212:Pancreatic cancer	11	29.72972972972973	2.1561483990491898E-13	AKT1, EGFR, MAPK1, MAP2K1, RELA, ERBB2, RAF1, MAPK8, BAD, RB1, STAT3	34	65	6879	34.239366515837105	3.126277015041978E-11	6.252554030083957E-12	2.5596191832732984E-10
KEGG_PATHWAY	hsa05161:Hepatitis B	13	35.13513513513514	1.1819070489193847E-12	PRKCA, MAP2K1, RELA, RAF1, RB1, BAD, STAT3, SRC, AKT1, MAPK1, CDKN1B, JUN, MAPK8	34	145	6879	18.1393509127789	1.7138179764231154E-10	2.8563595932951102E-11	1.403155369672504E-9
KEGG_PATHWAY	hsa05221:Acute myeloid leukemia	10	27.027027027027028	2.664013061043518E-12	AKT1, MAPK1, EIF4EBP1, MAP2K1, RELA, RAF1, RPS6KB1, BAD, MTOR, STAT3	34	56	6879	36.12920168067227	3.8627712140026915E-10	5.518241419366632E-11	3.1625702057169747E-9
KEGG_PATHWAY	hsa05215:Prostate cancer	11	29.72972972972973	5.065366281040525E-12	AKT1, EGFR, MAPK1, CDKN1B, MAP2K1, RELA, ERBB2, RAF1, BAD, RB1, MTOR	34	88	6879	25.29044117647059	7.344819197285801E-10	9.181022608828471E-11	6.013423092809944E-9
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	12	32.432432432432435	1.8841454273333968E-11	AKT1, MAPK1, EIF4EBP1, MAP2K1, ACACA, RAF1, PRKAA1, MAPK8, RPS6KB1, BAD, MTOR, RPS6	34	138	6879	17.593350383631716	2.732015169648605E-9	3.0355729041531276E-10	2.236784091280697E-8
KEGG_PATHWAY	hsa05231:Choline metabolism in cancer	11	29.72972972972973	2.071543811266354E-11	PRKCA, AKT1, EGFR, MAPK1, EIF4EBP1, MAP2K1, JUN, RAF1, MAPK8, RPS6KB1, MTOR	34	101	6879	22.03523587652883	3.0037372589220013E-9	3.0037372589220013E-10	2.4592516911781104E-8
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	10	27.027027027027028	2.4973346409948357E-11	AKT1, MAPK1, MAP2K1, MAPK14, RELA, ESR1, RAF1, MAPK8, SRC, STAT3	34	71	6879	28.49627174813587	3.6211367238081493E-9	3.291942274330495E-10	2.9647351240669195E-8
KEGG_PATHWAY	hsa05200:Pathways in cancer	16	43.24324324324324	6.981059459179137E-11	PRKCA, EGFR, MAP2K1, ERBB2, RELA, MET, RAF1, BAD, RB1, STAT3, AKT1, MAPK1, CDKN1B, JUN, MAPK8, MTOR	34	393	6879	8.237090255949708	1.0122537252854613E-8	8.435447895749348E-10	8.28763169202773E-8
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	11	29.72972972972973	1.1803036234687162E-10	AKT1, MAPK1, RPS6KA1, MAP2K1, MAPK14, RELA, JUN, RAF1, MAPK8, BAD, PRKCD	34	120	6879	18.54632352941177	1.7114402561801967E-8	1.316492470593289E-9	1.401208593598824E-7
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	9	24.324324324324326	1.3626112817302275E-10	PRKCA, AKT1, EGFR, MAPK1, MAP2K1, ERBB2, RAF1, BAD, RB1	34	56	6879	32.51628151260504	1.9757861235980556E-8	1.4112757629192174E-9	1.617636691264579E-7
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	15	40.54054054054054	1.6877396456281738E-10	PRKCA, EGFR, MAP2K1, RELA, MET, RAF1, RPS6KB1, BAD, RPS6, AKT1, MAPK1, EIF4EBP1, CDKN1B, PRKAA1, MTOR	34	345	6879	8.796675191815856	2.447222890999967E-8	1.631481949537772E-9	2.003616383916551E-7
KEGG_PATHWAY	hsa04912:GnRH signaling pathway	10	27.027027027027028	2.466677200684578E-10	PRKCA, EGFR, MAPK1, MAP2K1, MAPK14, JUN, RAF1, MAPK8, PRKCD, SRC	34	91	6879	22.233354880413703	3.5766813843984835E-8	2.235425955454673E-9	2.928338682650633E-7
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	9	24.324324324324326	4.1366906696538817E-10	AKT1, EGFR, PDK1, MAPK1, MAP2K1, ERBB2, MET, RAF1, MTOR	34	64	6879	28.451746323529413	5.998201757506649E-8	3.5283540533725954E-9	4.910911788336136E-7
KEGG_PATHWAY	hsa04510:Focal adhesion	12	32.432432432432435	1.4461611759654466E-9	PRKCA, AKT1, EGFR, MAPK1, MAP2K1, JUN, ERBB2, MET, RAF1, MAPK8, BAD, SRC	34	206	6879	11.785836664762993	2.0969335079445983E-7	1.1649631703747332E-8	1.7168238941600578E-6
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	10	27.027027027027028	8.006910394695168E-9	AKT1, EGFR, MAPK1, CDKN1B, MAP2K1, MAPK14, RAF1, PRKAA1, MAPK8, STAT3	34	134	6879	15.098770851624232	1.161001332405931E-6	6.11053668775341E-8	9.50547881517494E-6
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	8	21.62162162162162	1.0803085448491816E-8	PRKCA, AKT1, MAPK1, MAP2K1, MAPK14, RAF1, BAD, SRC	34	61	6879	26.534233365477334	1.5664461683329023E-6	7.832236670335391E-8	1.2824984108039672E-5
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	9	24.324324324324326	1.4274718328931381E-8	AKT1, EGFR, MAPK1, MAP2K1, JUN, ESR1, RAF1, PRKCD, SRC	34	99	6879	18.393048128342247	2.06983202566402E-6	9.856352689574521E-8	1.6946365288816878E-5
KEGG_PATHWAY	hsa05214:Glioma	8	21.62162162162162	1.701120431911027E-8	PRKCA, AKT1, EGFR, MAPK1, MAP2K1, RAF1, RB1, MTOR	34	65	6879	24.90135746606335	2.4666216072999347E-6	1.1211929595855707E-7	2.0195009975410017E-5
KEGG_PATHWAY	hsa04931:Insulin resistance	9	24.324324324324326	2.8501391489914907E-8	AKT1, RPS6KA1, RELA, PRKAA1, MAPK8, RPS6KB1, MTOR, PRKCD, STAT3	34	108	6879	16.860294117647058	4.1326932823659845E-6	1.796826717415101E-7	3.383569074921766E-5
KEGG_PATHWAY	hsa05219:Bladder cancer	7	18.91891891891892	3.0133109966809713E-8	EGFR, MAPK1, MAP2K1, ERBB2, RAF1, RB1, SRC	34	41	6879	34.54304160688665	4.369291471517656E-6	1.820541924990593E-7	3.5772800199840304E-5
KEGG_PATHWAY	hsa05218:Melanoma	8	21.62162162162162	3.185242650794149E-8	AKT1, EGFR, MAPK1, MAP2K1, MET, RAF1, BAD, RB1	34	71	6879	22.797017398508697	4.618591246563497E-6	1.8474405938384564E-7	3.781390228718706E-5
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	8	21.62162162162162	3.516531884833579E-8	AKT1, MAPK1, CDKN1B, MAP2K1, RELA, RAF1, BAD, RB1	34	72	6879	22.480392156862745	5.098958327343084E-6	1.9611426260723874E-7	4.174683235769194E-5
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	9	24.324324324324326	4.6805539507598084E-8	PRKCA, AKT1, MAPK1, MAP2K1, ESR1, RAF1, BAD, MTOR, SRC	34	115	6879	15.834015345268542	6.786780364032019E-6	2.513630570355474E-7	5.5565624079711995E-5
KEGG_PATHWAY	hsa05213:Endometrial cancer	7	18.91891891891892	1.3145505777880987E-7	AKT1, EGFR, MAPK1, MAP2K1, ERBB2, RAF1, BAD	34	52	6879	27.23585972850679	1.9060802963988266E-5	6.807492191063247E-7	1.5605800146589743E-4
KEGG_PATHWAY	hsa05160:Hepatitis C	9	24.324324324324326	1.4617082069421897E-7	AKT1, EGFR, MAPK1, MAPK14, RELA, RAF1, MAPK8, BAD, STAT3	34	133	6879	13.691065900044228	2.1194545938518772E-5	7.308538897410344E-7	1.735279320236316E-4
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	11	29.72972972972973	1.6635410477299228E-7	PRKCA, AKT1, EGFR, MAPK1, RPS6KA1, MAP2K1, MAPK14, RELA, JUN, RAF1, MAPK8	34	253	6879	8.796675191815856	2.4121056288572973E-5	8.040445835799659E-7	1.9748866767477224E-4
KEGG_PATHWAY	hsa05210:Colorectal cancer	7	18.91891891891892	3.837398625582486E-7	AKT1, MAPK1, MAP2K1, JUN, RAF1, MAPK8, BAD	34	62	6879	22.842979127134722	5.5640742742668614E-5	1.7949109938353303E-6	4.555594508293126E-4
KEGG_PATHWAY	hsa05120:Epithelial cell signaling in Helicobacter pylori infection	7	18.91891891891892	6.124998393399523E-7	EGFR, MAPK14, RELA, JUN, MET, MAPK8, SRC	34	67	6879	21.138279192273924	8.880856018245176E-5	2.7753868954150107E-6	7.271325464963674E-4
KEGG_PATHWAY	hsa04664:Fc epsilon RI signaling pathway	7	18.91891891891892	6.695044165588617E-7	PRKCA, AKT1, MAPK1, MAP2K1, MAPK14, RAF1, MAPK8	34	68	6879	20.82742214532872	9.707346096687886E-5	2.941758488139712E-6	7.94805597059689E-4
KEGG_PATHWAY	hsa04014:Ras signaling pathway	10	27.027027027027028	7.37374679588918E-7	PRKCA, AKT1, EGFR, MAPK1, MAP2K1, RELA, MET, RAF1, MAPK8, BAD	34	226	6879	8.952368558042686	1.0691365228088223E-4	3.1446823481884323E-6	8.753778043879556E-4
KEGG_PATHWAY	hsa05164:Influenza A	9	24.324324324324326	1.1542488848815466E-6	PRKCA, AKT1, MAPK1, MAP2K1, MAPK14, RELA, JUN, RAF1, MAPK8	34	174	6879	10.465010141987829	1.6735217996532992E-4	4.7818795639864575E-6	0.001370268864686608
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	8	21.62162162162162	1.2098170593527922E-6	PRKCA, AKT1, MAPK1, MAP2K1, MAPK14, RELA, RAF1, MAPK8	34	120	6879	13.488235294117647	1.7540819389882945E-4	4.872865341898347E-6	0.0014362362998676659
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	8	21.62162162162162	1.3531861006384765E-6	AKT1, CDKN1B, MAPK14, RELA, JUN, MAPK8, RB1, STAT3	34	122	6879	13.267116682738667	1.9619286900662836E-4	5.303016137436778E-6	0.0016064358397072098
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	9	24.324324324324326	1.912084637942353E-6	AKT1, MAPK1, MAP2K1, GSK3A, RELA, RAF1, PRKCD, SRC, STAT3	34	186	6879	9.789848197343455	2.772141066358369E-4	7.296092793040998E-6	0.0022699257387959193
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	7	18.91891891891892	2.3552587125972085E-6	PRKCA, AKT1, MAPK1, MAP2K1, RAF1, RPS6KB1, PRKCD	34	84	6879	16.860294117647058	3.4145460660739424E-4	8.7567030830904E-6	0.0027960318220388025
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	7	18.91891891891892	2.896407889393991E-6	AKT1, MAPK1, RPS6KA1, MAP2K1, MAPK14, RAF1, MAPK8	34	87	6879	16.2789046653144	4.198915730311281E-4	1.0499438685029894E-5	0.003438443837588956
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	9	24.324324324324326	3.967155096440839E-6	MAPK1, CDKN1B, RELA, JUN, CHEK1, BAD, RB1, SRC, STAT3	34	205	6879	8.882496413199426	5.750732119924606E-4	1.4030112065244182E-5	0.0047095440700140045
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	9	24.324324324324326	4.747789373622539E-6	PRKCA, AKT1, EGFR, MAPK1, MAP2K1, MAPK14, MET, RAF1, SRC	34	210	6879	8.671008403361345	6.88194179127688E-4	1.6391082175326588E-5	0.005636237521877696
KEGG_PATHWAY	hsa05206:MicroRNAs in cancer	10	27.027027027027028	5.233304654196119E-6	PRKCA, EGFR, CDKN1B, MAP2K1, ERBB3, ERBB2, MET, RAF1, MTOR, STAT3	34	286	6879	7.074249280131633	7.585433209025272E-4	1.7647080578164775E-5	0.006212590300336274
KEGG_PATHWAY	hsa04921:Oxytocin signaling pathway	8	21.62162162162162	5.409896820090683E-6	PRKCA, EGFR, MAPK1, MAP2K1, JUN, RAF1, PRKAA1, SRC	34	150	6879	10.790588235294118	7.841295703788775E-4	1.7827958370353336E-5	0.00642222122901881
