,AKT.pS473,AKT.pT308,AMPK.PT172,cJUN.pS73,EGFR.PY1173,GSK3.pS21,JNK.PT183,LKB1.pS428,MAPK.pT202,MEK1-2.PS217,mTOR.pS2448,p38.PT180,p70S6K.pT389,p90RSK.pT359,PDK1.pS241,PI3K,STAT3.pT727,STAT3.pY705,STAT5.pY964,TSC2.PT1462
MDA-MB-468 0ng EGF (5 min) (1),0.5304013,0.1122624,0.0073852,0.0372281,0.0010107,0.8935225,0.0066362,0.0146124,0.3187321,0.2106618,0.2340521,0.0177148,0.0336469,0.0237319,0.1040524,0.1265662,0.2060155,0.0169826,0.0184841,0.1667477
MDA-MB-468 0ng EGF (5 min) (2),0.5084591,0.1034133,0.0074840,0.0376396,0.0018878,0.8661836,0.0065200,0.0110127,0.3312263,0.1828041,0.2331855,0.0150044,0.0408776,0.0386015,0.0946505,0.1174886,0.2205347,0.0169171,0.0329490,0.1630038
MDA-MB-468 0ng EGF (5 min) (3),0.5673447,0.1192121,0.0071113,0.0369495,0.0029138,0.9412151,0.0039481,0.0107503,0.2810375,0.1456200,0.2780157,0.0121329,0.0348222,0.0222584,0.1012498,0.1012491,0.1998545,0.0153445,0.0483639,0.1687197
MDA-MB-468 5ng EGF (5 min) (1),0.9681353,0.2629981,0.0052351,0.0384648,0.0088047,0.9759659,0.0054831,0.0157997,0.4954865,0.2526638,0.2005779,0.0226627,0.0513227,0.0512856,0.0950411,0.0889030,0.2173653,0.0229062,0.0518299,0.1706998
MDA-MB-468 5ng EGF (5 min) (2),1.2413458,0.3110335,0.0067092,0.0334464,0.0086412,1.0838662,0.0038501,0.0131361,0.6352043,0.2235730,0.2485758,0.0196016,0.0492381,0.0534198,0.1010335,0.0992863,0.2507494,0.0277185,0.0538767,0.1953366
MDA-MB-468 5ng EGF (5 min) (3),1.1369344,0.2891136,0.0076870,0.0330702,0.0072702,1.0150117,0.0041035,0.0141136,0.5759572,0.1881531,0.2321070,0.0205558,0.0467798,0.0630923,0.0901933,0.0898359,0.2324387,0.0261912,0.0478640,0.1732343
MDA-MB-468 10ng EGF (5 min) (1),1.2998853,0.3369023,0.0105200,0.0351666,0.0173106,0.9886394,0.0037149,0.0150061,0.6716598,0.2244883,0.2484559,0.0256059,0.0559952,0.0561457,0.1043229,0.1148220,0.2540271,0.0410862,0.0609269,0.2123683
MDA-MB-468 10ng EGF (5 min) (2),1.2356971,0.2912543,0.0063072,0.0366709,0.0185678,1.0595861,0.0062716,0.0147864,0.5690374,0.2198236,0.2151898,0.0258854,0.0465823,0.0654668,0.1008202,0.0899346,0.2207881,0.0414218,0.0598578,0.1682898
MDA-MB-468 10ng EGF (5 min) (3),1.4889355,0.3484850,0.0085701,0.0374861,0.0236866,1.1140042,0.0045926,0.0163234,0.6677615,0.2340973,0.2584396,0.0243669,0.0573620,0.0696546,0.1073204,0.1144858,0.2547705,0.0462755,0.0707822,0.2028577
MDA-MB-468 20ng EGF (5 min) (1),1.3639575,0.3511493,0.0099795,0.0356612,0.0622616,1.1103335,0.0048682,0.0134326,0.6516335,0.2577837,0.2645355,0.0315760,0.0527550,0.0730124,0.1008322,0.1191867,0.2760718,0.0782889,0.0952491,0.2086239
MDA-MB-468 20ng EGF (5 min) (2),1.6825437,0.3626430,0.0077554,0.0379428,0.0414911,1.2672803,0.0038083,0.0118309,0.6099945,0.2925632,0.2877660,0.0283096,0.0503290,0.0638861,0.1010440,0.0991517,0.2603059,0.0939755,0.0841879,0.1978061
MDA-MB-468 20ng EGF (5 min) (3),1.5098670,0.3677234,0.0099137,0.0362191,0.0476319,1.1858642,0.0077919,0.0136267,0.5198624,0.2789196,0.2603574,0.0306118,0.0495246,0.0677752,0.1015218,0.1045434,0.2520516,0.0920400,0.0797882,0.2060808
MDA-MB-468 0ng EGF (15 min) (1),0.7199560,0.1307542,0.0017187,0.0324934,0.0029559,1.0443019,0.0041561,0.0114813,0.0970903,0.1846918,0.2822177,0.0129603,0.0471417,0.0300408,0.1214310,0.1206088,0.2234082,0.0147264,0.0451309,0.1904250
MDA-MB-468 0ng EGF (15 min) (2),0.5816913,0.1219598,0.0074733,0.0338954,0.0045688,0.9561761,0.0066670,0.0117605,0.0982888,0.1540175,0.2843599,0.0146775,0.0418781,0.0431047,0.1102435,0.1208577,0.2216837,0.0168068,0.0380473,0.1869012
MDA-MB-468 0ng EGF (15 min) (3),0.5356703,0.1307659,0.0035236,0.0312546,0.0014596,0.9865812,0.0046278,0.0126082,0.1010662,0.1583521,0.2599973,0.0127237,0.0475532,0.0371174,0.1160063,0.1195325,0.2275005,0.0152923,0.0409690,0.1813839
MDA-MB-468 5ng EGF (15 min) (1),1.2248487,0.3045898,0.0039809,0.0444139,0.0058169,1.0095540,0.0056452,0.0167704,0.4635732,0.2649498,0.2228092,0.0179769,0.0584439,0.0772972,0.0922136,0.0917811,0.2527980,0.0195771,0.0371044,0.1626422
MDA-MB-468 5ng EGF (15 min) (2),1.4087050,0.3136138,0.0063250,0.0440369,0.0053491,1.0654878,0.0071428,0.0149017,0.4652222,0.2901481,0.2275604,0.0185681,0.0639660,0.0698997,0.0998704,0.1145889,0.2813066,0.0151493,0.0290240,0.1852534
MDA-MB-468 5ng EGF (15 min) (3),1.1895277,0.3426191,0.0057417,0.0455563,0.0076571,1.0965214,0.0150340,0.0150845,0.5479226,0.3040712,0.2308903,0.0227066,0.0692601,0.0823987,0.1000576,0.1433045,0.2943844,0.0184553,0.0478038,0.2079329
MDA-MB-468 10ng EGF (15 min) (1),1.5906705,0.3496726,0.0039529,0.0415237,0.0155831,1.1464682,0.0068948,0.0135111,0.5054966,0.2868216,0.2433703,0.0231489,0.0611903,0.0676764,0.0940938,0.0978725,0.2961264,0.0214194,0.0353403,0.1669556
MDA-MB-468 10ng EGF (15 min) (2),1.5089514,0.3872363,0.0062753,0.0483639,0.0135896,0.9969258,0.0126221,0.0179993,0.5220162,0.2938633,0.2637479,0.0270027,0.0654394,0.0841620,0.0949513,0.1028015,0.2803438,0.0252121,0.0425345,0.1931889
MDA-MB-468 10ng EGF (15 min) (3),1.6766336,0.3425627,0.0052613,0.0493021,0.0122271,1.0145915,0.0058139,0.0145987,0.5233230,0.2989853,0.2794400,0.0220743,0.0625670,0.1016469,0.0895466,0.1035892,0.2931344,0.0269004,0.0510573,0.1826349
MDA-MB-468 20ng EGF (15 min) (1),1.2274437,0.3344097,0.0075239,0.0425943,0.0379096,0.8763313,0.0097170,0.0159300,0.5400076,0.3232787,0.2440732,0.0316615,0.0679971,0.0952056,0.0973826,0.1016981,0.2459535,0.0567655,0.0781634,0.1874831
MDA-MB-468 20ng EGF (15 min) (2),1.4364430,0.3472577,0.0040120,0.0419935,0.0403943,0.8453413,0.0068722,0.0173837,0.5729371,0.2897483,0.2486375,0.0305462,0.0586150,0.0792486,0.0955389,0.0976675,0.2534128,0.0650760,0.0679243,0.1782572
MDA-MB-468 20ng EGF (15 min) (3),1.6482069,0.3420323,0.0074643,0.0467917,0.0367522,0.8319092,0.0091224,0.0179688,0.5184119,0.2844402,0.2663078,0.0308056,0.0611796,0.0786394,0.0975783,0.0911833,0.2132270,0.0663823,0.0688269,0.1931225
MDA-MB-468 0ng EGF (30 min) (1),0.7197007,0.1371308,0.0075986,0.0408554,0.0046025,0.8741303,0.0064834,0.0143533,0.1348791,0.1632339,0.2241320,0.0119872,0.0233852,0.0218883,0.1122092,0.1385571,0.2191910,0.0234024,0.0400143,0.1908446
MDA-MB-468 0ng EGF (30 min) (2),0.6798943,0.1246081,0.0066936,0.0358284,0.0051264,0.8455561,0.0063665,0.0134560,0.1264013,0.1590067,0.2436724,0.0146122,0.0283933,0.0313399,0.1094136,0.1237284,0.1932410,0.0187549,0.0393042,0.1731949
